"route","mod","aic","dAIC","z"
"124_04_002","tnegb",393.382376575696,2.00751790914637,0.188971618208975
"124_04_002","plnorm",395.796930380855,4.42207171430499,NA
"124_04_002","fish",391.37485866655,0,NA
"124_04_003","tnegb",370.454000237384,0,0.00267063921169858
"124_04_003","plnorm",371.000670417895,0.546670180511171,NA
"124_04_003","fish",371.004849427083,0.550849189699306,NA
"124_04_004","tnegb",312.199234590283,0,0.00380694206977406
"124_04_004","plnorm",316.106204099898,3.90696950961484,NA
"124_04_004","fish",312.674900231498,0.475665641215528,NA
"124_04_006","tnegb",233.486675016062,2.00574042277728,0.151188502370024
"124_04_006","plnorm",232.98777781201,1.50684321872598,NA
"124_04_006","fish",231.480934593284,0,NA
"124_04_007","tnegb",399.235071467178,4.33264682032137,0.0136075785717495
"124_04_007","plnorm",394.902424646857,0,NA
"124_04_007","fish",398.985308855768,4.08288420891182,NA
"124_04_009","tnegb",308.721014860949,1.46398608313666,0.00205336245584602
"124_04_009","plnorm",309.623949489194,2.36692071138106,NA
"124_04_009","fish",307.257028777813,0,NA
"124_04_010","tnegb",244.860760382732,0.018326594050933,0.00360758793485955
"124_04_010","plnorm",246.918891974765,2.0764581860837,NA
"124_04_010","fish",244.842433788682,0,NA
"124_04_013","tnegb",408.896601715057,1.47381384932316,0.000846186505744878
"124_04_013","plnorm",411.014593447258,3.59180558152462,NA
"124_04_013","fish",407.422787865734,0,NA
"124_04_014","tnegb",251.429008407218,1.21293609887758,0.000425550071671469
"124_04_014","plnorm",254.835693905963,4.61962159762223,NA
"124_04_014","fish",250.216072308341,0,NA
"124_04_015","tnegb",317.922737615785,1.72566609588523,0.000561938479328615
"124_04_015","plnorm",319.764961115997,3.56788959609719,NA
"124_04_015","fish",316.197071519899,0,NA
"124_04_017","tnegb",200.24665895102,0.462605602415834,1.14296412794229e-05
"124_04_017","plnorm",203.64948010653,3.86542675792558,NA
"124_04_017","fish",199.784053348605,0,NA
"124_04_018","tnegb",301.117395572831,1.84414802253065,0.000981313793996053
"124_04_018","plnorm",303.772973811116,4.49972626081558,NA
"124_04_018","fish",299.273247550301,0,NA
"124_04_019","tnegb",311.446702204337,1.56631440174192,0.00202535839644953
"124_04_019","plnorm",311.931235223009,2.05084742041464,NA
"124_04_019","fish",309.880387802595,0,NA
"124_04_020","tnegb",421.685722747259,1.98129161811914,0.000655881962302056
"124_04_020","plnorm",426.897845525568,7.19341439642892,NA
"124_04_020","fish",419.70443112914,0,NA
"124_04_022","tnegb",393.966578397449,6.15429264401843,0.00784080379782396
"124_04_022","plnorm",387.812285753431,0,NA
"124_04_022","fish",392.109931069896,4.29764531646515,NA
"124_04_026","tnegb",440.145748833369,1.13337423653661,0.00220495456222876
"124_04_026","plnorm",446.192004756824,7.17963015999152,NA
"124_04_026","fish",439.012374596833,0,NA
"124_04_027","tnegb",329.566622343687,0.325190030844567,0.00282680341983379
"124_04_027","plnorm",329.241432312843,0,NA
"124_04_027","fish",330.500456835388,1.2590245225457,NA
"124_04_028","tnegb",389.703130575329,0.759463650572059,0.000400702660918323
"124_04_028","plnorm",392.957138881028,4.01347195627159,NA
"124_04_028","fish",388.943666924757,0,NA
"124_04_029","tnegb",379.284627794961,1.9637446506926,0.00188852595939806
"124_04_029","plnorm",384.545618459051,7.22473531478221,NA
"124_04_029","fish",377.320883144268,0,NA
"124_04_030","tnegb",362.762495193353,1.20871515153232,2.248419155076e-06
"124_04_030","plnorm",367.602372409746,6.04859236792504,NA
"124_04_030","fish",361.553780041821,0,NA
"124_04_031","tnegb",350.825846950253,0,0.000471452937853636
"124_04_031","plnorm",354.83377531644,4.007928366187,NA
"124_04_031","fish",351.718238391996,0.892391441743769,NA
"124_04_032","tnegb",248.504411449206,1.5457959544361,9.26263128424423e-06
"124_04_032","plnorm",248.184948926515,1.22633343174445,NA
"124_04_032","fish",246.95861549477,0,NA
"124_04_033","tnegb",259.102923039748,2.00956125978939,0.0395508936731936
"124_04_033","plnorm",262.103422425378,5.01006064541946,NA
"124_04_033","fish",257.093361779958,0,NA
"124_04_034","tnegb",189.727892448656,1.34805713016812,0.000405064461544235
"124_04_034","plnorm",191.824624651508,3.44478933302057,NA
"124_04_034","fish",188.379835318488,0,NA
"124_04_036","tnegb",472.465883998693,0,0.000120135556442611
"124_04_036","plnorm",475.97668340379,3.5107994050968,NA
"124_04_036","fish",475.968118969309,3.5022349706162,NA
"124_04_040","tnegb",288.352000309309,2.01438941646848,0.332929420202401
"124_04_040","plnorm",287.958721761218,1.62111086837791,NA
"124_04_040","fish",286.33761089284,0,NA
"124_04_042","tnegb",290.629967174178,0,0.000176305570670877
"124_04_042","plnorm",295.83849238859,5.20852521441208,NA
"124_04_042","fish",291.198913210545,0.568946036366924,NA
"124_04_043","tnegb",306.007981762484,0,0.00123064668354327
"124_04_043","plnorm",310.61550284399,4.60752108150598,NA
"124_04_043","fish",309.647894835029,3.63991307254531,NA
"124_04_049","tnegb",121.202014218048,0.823959181046433,0.000100396493526
"124_04_049","plnorm",122.598777493271,2.2207224562699,NA
"124_04_049","fish",120.378055037001,0,NA
"124_04_050","tnegb",384.442939392072,1.81232542300484,0.0019758475255501
"124_04_050","plnorm",389.156109500966,6.52549553189891,NA
"124_04_050","fish",382.630613969067,0,NA
"124_04_055","tnegb",274.210024598481,2.06985337214076,0.00744008796506975
"124_04_055","plnorm",272.140171226341,0,NA
"124_04_055","fish",272.218154891108,0.0779836647672028,NA
"124_04_062","tnegb",261.363552515512,0,0.00135726985135621
"124_04_062","plnorm",262.819990451389,1.45643793587686,NA
"124_04_062","fish",262.387230121792,1.02367760628005,NA
