"s","mu","trueK","k1","k2","k3","k4","k5"
50,2,"k3",30.6519736418704,1.70378808382349,0.0229555794817621,1.76530967815139,4.93997789413852
140,2,"k3",89.7520897627653,6.55547344512906,0.253379444030728,0.944194908104018,4.39671494158197
230,2,"k3",142.562481383061,10.3679278435485,0.267838844971511,1.71764362092817,8.01521635653337
320,2,"k3",213.801263981337,18.14152950338,1.99611045945078,0.291186846188556,4.38394966459746
410,2,"k3",243.63738620294,8.39697914142962,1.37157223276452,18.4868956095591,41.4244446018879
500,2,"k3",312.939503399667,20.9084079892665,0.0631193961867464,7.27755362407523,25.9355532725513
50,3.6,"k3",21.9050960568708,1.83254326674785,0.148077724684587,0.0819979001902242,0.583278546641424
140,3.6,"k3",80.6682328457443,11.2167653458082,3.30623647426537,0.464399909610505,0.0690174495209105
230,3.6,"k3",106.418861504935,3.65366041366322,0.35957971702942,7.24599193215655,16.7049831350163
320,3.6,"k3",173.232698997515,12.4723231381526,0.525075616760458,1.65695501360569,8.6042392149813
410,3.6,"k3",205.255930501589,16.7591001141082,1.04578785170543,1.26753084932505,8.3808505578427
500,3.6,"k3",238.258531374679,16.4847870425295,0.399062414614839,4.98388203323092,18.1101604382001
50,5.2,"k3",19.4686758971154,0.638766065550754,0.000526313848567636,0.341381190539942,1.14955706729405
140,5.2,"k3",68.143063037493,6.55059196651888,0.771883847157601,0.0666865963433729,2.03627780637603
230,5.2,"k3",92.1843695388898,6.11552690110002,0.25431958422322,0.848292624173926,4.80207788922127
320,5.2,"k3",134.681593566175,5.15189359821857,0.0425246493061854,4.57179340762908,14.8622764847048
410,5.2,"k3",134.972804070572,4.05816830618511,0.890204550344,9.55787835252909,26.2234210664761
500,5.2,"k3",213.632509498353,15.9955332645645,2.6688678060352,0.138665509591624,4.17866557033213
50,6.8,"k3",14.1602888276468,0.197140926455291,0.155280185704644,1.41336914062096,3.80082117032951
140,6.8,"k3",40.5747696592701,0.529759945231143,0.491828430829653,4.09931221498812,9.06504811426015
230,6.8,"k3",73.9957134512031,3.86987135072205,0.000161776227322709,1.80557820949496,7.69556994521235
320,6.8,"k3",113.370187281411,3.84928567475886,0.0796413292793597,4.69890930184603,17.7325565769303
410,6.8,"k3",134.451141724368,3.30986714930348,0.230652651602298,6.17198105889403,19.1605690924026
500,6.8,"k3",177.307247279946,8.35795484945534,0.0526115778758122,3.1975228154683,13.2292611218707
50,8.4,"k3",14.0690842083018,0.000204330267040879,1.47874729037411,6.51411893657861,12.5070339939146
140,8.4,"k3",47.2623850864333,2.65786925723728,0.403313978151089,0.011318367003425,0.745303632817332
230,8.4,"k3",65.4024473407754,1.36997762188842,0.125663724330381,2.25609228444069,8.05438951929899
320,8.4,"k3",120.532405434038,8.23663796747925,1.21012962574562,0.0899621869124989,3.98269769379103
410,8.4,"k3",114.077238176989,2.32399708467279,0.227485835871523,6.33728857903038,18.2361540226133
500,8.4,"k3",174.893428960487,6.52101838670707,0.134078412051282,1.60176939654388,11.1963019596466
50,10,"k3",14.6165690026291,0.510155054232723,0.00252924325687325,0.406434494108586,1.59792265704283
140,10,"k3",45.3805072570787,2.55974980067946,0.330558655606288,0.104325218334857,1.6735820976898
230,10,"k3",52.9448907721343,0.0516589178652993,2.31361299951369,7.49921840486104,18.8893707871723
320,10,"k3",104.460403254315,3.85899084949567,0.225384509937836,0.48989022123596,4.52635381173389
410,10,"k3",125.988990282135,4.34691822581236,0.469554012127965,0.480340761725151,5.18124702517263
500,10,"k3",176.964100557723,9.45732268954302,1.09228717046429,0.732020267290213,8.67261861169378
