"n","mean","ciLo","ciHi"
10,0.706791410058128,0.0319592987157804,1.80865482268326
15,0.817214630273876,0.0591551609404317,2.01835051648682
20,1.16451111269603,0.145614934417754,2.44827049598081
25,1.46322336063787,0.191915033096016,3.17246472957145
40,2.22292602629358,0.806410224690208,4.26684236944817
55,3.05168923387581,0.990739309405344,5.24762802818545
75,4.05173200642835,1.20884601864446,7.09283345729451
105,5.62154148513292,2.92042582793735,8.71482411137984
145,7.69986313647407,4.31868762421325,11.4592969276063
200,10.7684275637083,6.65030220283536,14.4340762436599
